rep,bs,tempo_aco_ms,gflops,iters,f1,reducao
1,32,119259,575.074,22,0.772832,23.1067
1,64,152061,450.882,22,0.772832,23.1067
1,128,148375,462.099,22,0.772832,23.1067
1,256,136896,500.896,22,0.772832,23.1067
1,512,129297,530.379,22,0.772832,23.1067
1,1024,118431,579.12,22,0.772832,23.1067
2,32,119473,574.038,22,0.772832,23.1067
2,64,152093,450.79,22,0.772832,23.1067
2,128,148649,461.247,22,0.772832,23.1067
2,256,137003,500.521,22,0.772832,23.1067
2,512,129475,529.686,22,0.772832,23.1067
2,1024,118442,579.102,22,0.772832,23.1067
